product_id,cmno,name,category_id,category,is_main,is_protein,price,calories,protein,fat,carb,sugar,sodium,n_servings,price_source
418,2411290,抹茶湯圓,15,冷凍食品,1,0,130,620.0,8.0,26.4,87.8,10.6,26.0,2,curated
419,2411622,花生湯圓,15,冷凍食品,1,1,130,732.0,12.4,34.4,93.2,19.8,6.0,2,curated
420,2411640,芝麻湯圓,15,冷凍食品,1,1,130,778.0,11.2,45.6,80.8,23.2,2.0,2,curated
421,2920255,義美酸梅湯,17,一般飲料,0,0,28,213.0,0.0,0.0,52.8,48.8,26.0,1,curated
422,0065108,湖池屋北海道玉米濃湯洋芋片,18,點心零食,0,0,64,392.0,4.8,25.2,36.6,2.4,452.0,2,curated
423,1385741,湯姆貓與傑利鼠造型風扇-附糖果,18,點心零食,0,0,50,25.2,0.0,0.0,6.4,3.8,3.8,2,curated
424,1438924,纖米脆脆—玉米濃湯ＰＬＵＳ風味,18,點心零食,0,0,32,114.2,2.9,5.4,14.1,0.7,78.0,1,curated
425,0089633,鹽味豚骨湯麵,19,加工食品,1,1,45,484.0,11.6,20.1,64.2,4.3,2616.0,1,curated
426,0293662,精燉肉燥湯麵5入裝,19,加工食品,1,1,225,1985.0,38.5,106.0,219.0,0.0,5875.0,5,curated
427,0345344,沙茶鍋燒湯麵,19,加工食品,1,1,45,516.0,10.7,22.0,68.8,4.5,2773.0,1,curated
428,0458983,經典風味玉米濃湯,19,加工食品,0,0,135,220.5,3.9,2.1,46.5,17.4,1917.0,3,curated
429,0472727,麻辣燙湯麵,19,加工食品,1,0,45,276.0,5.5,14.2,31.6,1.6,1181.0,1,curated
430,0591882,日本全家蛤蜊味噌湯,19,加工食品,0,0,45,33.0,3.5,0.7,3.1,7.8,787.4,1,curated
431,0600754,薑母鴨湯,19,加工食品,0,1,45,186.0,13.0,13.0,4.2,4.2,1561.0,1,curated
432,0600809,花雕雞湯,19,加工食品,0,1,45,87.0,12.3,1.4,6.3,5.6,1211.0,1,curated
433,0600859,藥燉排骨湯,19,加工食品,0,1,45,120.0,12.3,4.9,6.7,6.0,1089.0,1,curated
434,0600968,精燉肉燥湯麵,19,加工食品,1,1,45,397.0,7.7,21.2,43.8,0.0,1175.0,1,curated
435,0623792,漁夫龍蝦風味濃湯,19,加工食品,0,1,45,60.0,1.3,1.3,10.7,3.5,533.0,1,curated
436,0623801,安城湯麵,19,加工食品,1,1,45,531.0,10.2,17.8,82.5,3.6,2330.0,1,curated
437,0664641,紅燒嫩菇湯麵,19,加工食品,1,0,45,468.0,8.9,25.3,51.2,2.1,2002.0,1,curated
438,0664655,府城擔仔湯麵,19,加工食品,1,0,45,494.0,9.6,22.9,62.5,1.4,2093.0,1,curated
439,0699997,海鮮湯麵,19,加工食品,1,0,45,310.0,7.3,14.0,38.5,2.0,1485.0,1,curated
440,0940724,松露嫩雞風味濃湯,19,加工食品,0,1,45,61.0,1.7,1.5,10.2,2.1,454.0,1,curated
441,1055287,黑蒜豚骨湯麵,19,加工食品,1,0,45,481.0,9.1,25.2,54.4,3.2,2075.0,1,curated
442,1337748,田園巧達濃湯,19,加工食品,0,0,45,74.0,1.4,1.9,12.9,4.9,557.0,1,curated
443,1453869,長蔥味噌杯湯,19,加工食品,0,0,45,29.1,2.0,0.7,3.7,2.1,751.6,1,curated
444,4310399,日式雞白湯麵,19,加工食品,1,1,45,508.0,9.6,24.5,62.4,1.7,2226.0,1,curated
445,4330157,排骨雞湯麵特大號,19,加工食品,1,1,45,492.0,11.3,25.5,54.4,2.1,1645.0,1,curated
446,4340463,冬菜鴨肉湯粉絲,19,加工食品,0,1,45,229.0,1.6,6.6,40.9,0.0,1643.0,1,curated
447,4420726,海鮮巧達義大利濃湯麵,19,加工食品,1,0,45,181.0,4.8,2.7,34.3,3.8,613.0,1,curated
448,4420730,田園玉米義大利濃湯麵,19,加工食品,1,0,45,182.0,5.0,3.3,33.0,7.1,758.0,1,curated
449,4420744,雞蓉玉米濃湯,19,加工食品,0,1,45,59.0,1.3,0.7,11.8,5.6,396.0,1,curated
450,4421263,日本全家有明海苔味噌杯湯,19,加工食品,0,0,45,41.4,2.5,1.0,5.6,2.3,760.0,1,curated
451,1150803,香菇雞粥,2,主餐麵食,1,1,85,282.0,11.0,6.0,46.0,4.0,1070.0,1,curated
452,3330835,泰山八寶粥,17,一般飲料,1,0,28,269.0,6.0,0.4,60.4,31.0,57.0,1,curated
453,1431104,堅果燕麥粥活力野菜風味,19,加工食品,1,0,45,162.0,5.0,3.8,28.3,3.3,329.0,1,curated
454,1431881,堅果燕麥粥黃金玉米風味,19,加工食品,1,0,45,163.0,4.1,4.3,28.4,6.0,494.0,1,curated
455,1440400,田園蔬食粥,19,加工食品,1,0,45,117.0,2.8,0.6,25.8,4.5,340.0,1,curated
456,1440432,燕麥野菇粥,19,加工食品,1,0,45,127.0,2.9,1.9,25.4,3.4,412.0,1,curated
457,1424628,檸檬燕麥豆漿餐包,7,麵包,1,1,59,327.0,11.1,5.1,59.1,7.8,390.0,3,tier
458,0474274,光泉高鈣鮮豆漿,16,乳製品,0,1,28,203.2,15.3,7.6,18.4,12.6,58.0,1,curated
459,0475911,光泉燕麥高纖無加糖鮮豆漿,16,乳製品,0,1,28,184.5,14.4,8.1,18.0,2.2,162.0,1,curated
460,0754933,大醇豆無加糖豆漿,16,乳製品,0,1,28,160.0,15.8,8.6,5.6,2.3,56.0,1,curated
461,0926671,光泉無加糖鮮豆漿936ml,16,乳製品,0,1,75,338.4,31.8,16.8,15.0,6.6,102.0,3,curated
462,1110546,愛之味高鈣豆漿燕麥,16,乳製品,0,1,28,155.9,4.6,6.7,20.6,14.2,35.0,1,curated
463,1340789,大醇豆無加糖濃豆漿,16,乳製品,0,1,28,197.0,20.6,9.8,7.5,3.0,56.0,1,curated
464,1415009,大醇豆無加糖黑豆漿,16,乳製品,0,1,28,151.0,15.8,7.8,5.6,1.9,56.0,1,curated
465,1448858,燕麥高纖無加糖豆漿1857ml,16,乳製品,0,1,134,762.4,59.2,33.6,74.4,9.2,668.0,4,curated
466,1449022,無加糖鮮豆漿1857ml,16,乳製品,0,1,150,674.4,63.0,33.6,30.0,13.2,204.0,6,curated
467,2820720,桂格顆粒豆漿燕麥,16,乳製品,0,1,28,108.7,6.1,3.5,14.5,7.0,14.0,1,curated
468,2940031,光泉鮮豆漿,16,乳製品,0,1,28,230.4,15.2,8.0,24.4,20.8,72.0,1,curated
469,2940081,統一陽光無糖高纖豆漿,16,乳製品,0,1,112,162.8,13.6,7.6,14.0,3.2,88.0,4,curated
470,2940168,光泉無加糖鮮豆漿,16,乳製品,0,1,28,144.8,13.6,7.2,6.4,2.8,44.0,1,curated
471,2940227,統一陽光黃金豆豆漿,16,乳製品,0,1,112,234.0,14.0,8.4,25.6,19.2,108.0,4,curated
472,2940295,光泉黑芝麻鮮豆漿,16,乳製品,0,1,28,230.4,9.6,8.0,30.0,22.0,52.0,1,curated
473,2940459,光泉豆漿936ml,16,乳製品,0,1,75,537.0,35.4,18.6,57.0,48.6,168.0,3,curated
474,2945990,光泉無加糖黑豆漿,16,乳製品,0,1,28,141.6,14.0,7.2,5.2,2.0,56.0,1,curated
475,2946091,光泉無加糖濃豆漿,16,乳製品,0,1,28,190.2,19.1,9.8,7.9,2.6,60.0,1,curated
476,2946164,光泉無加糖濃黑豆漿,16,乳製品,0,1,28,198.2,19.1,9.8,11.6,3.8,60.0,1,curated
477,0063910,光泉無加糖優酪乳,16,乳製品,0,1,30,147.6,8.0,1.2,26.2,15.0,100.0,1,curated
478,0719226,LP33無加糖機能優酪乳,16,乳製品,0,1,30,101.0,6.6,1.6,15.0,9.0,104.0,1,curated
479,0738947,牧場直送4.0無加糖濃醇優酪乳,16,乳製品,0,1,60,118.4,5.6,4.0,15.0,11.6,64.0,2,curated
480,2840015,AB優酪乳原味902ml,16,乳製品,0,1,74,540.0,27.0,5.4,95.7,77.7,468.0,3,curated
481,2840251,AB優酪乳無加糖902ml,16,乳製品,0,1,74,519.0,27.9,11.7,75.6,41.4,468.0,3,curated
482,2850044,AB優酪乳原味517ml,16,乳製品,0,1,44,310.0,15.6,3.2,54.8,44.4,268.0,2,curated
483,2850058,AB優酪乳原味,16,乳製品,0,1,30,123.0,6.2,1.2,21.8,17.7,107.0,1,curated
484,2850149,AB草莓優酪乳,16,乳製品,0,1,30,143.0,5.6,1.2,27.4,23.3,91.0,1,curated
485,2850230,自然零無加糖優酪乳,16,乳製品,0,1,30,118.0,7.6,2.1,17.2,9.7,99.0,1,curated
486,2850276,光泉草莓綜合優酪乳,16,乳製品,0,1,30,130.4,4.6,2.4,22.6,21.2,76.0,1,curated
