salePageId,title,price,suggestPrice,isSoldOut
11414410,【奧瑪烘焙】肉鬆小貝-2盒(27g±9%/個(4個/盒)x2盒),400,500,False
11249564,【亞尼克】亞尼克生乳捲-原味10入(324G/入*10),2980,3920,False
10777384,【言久嵢】醇波士頓派-原味(145g/盒),158,169,False
10545644,【特美香】原味蛋糕10入+黑糖蛋糕10入(300g*20入),1800,1900,False
10545636,【黑丸嫩仙草】【黑丸】仙草3桶+愛玉3桶(仙草3桶+愛玉3桶(2kg/桶，共6桶/箱)),840,840,False
10526000,【言久嵢】雪藏草莓布蕾乳酪蛋糕(450g/盒),249,269,False
10316674,【冷凍店取-鮮芋仙】芝麻芋頭圓(200g/盒),95,129,False
8936366,【冷凍店取—食之香】起司抓餅(130gx1包),49,80,False
11731005,【原味時代】減醣貝果人氣綜合5入組(重乳酪1入+惡魔可可1入+海鹽焦糖1入+奶油香蒜1入+小農番茄瑪格麗特1入),580,670,False
11723147,【小熊菓子】芙菲小圓餅-經典原味(240g(18入)/盒),420,420,False
11631332,【BAC】6吋經典起士巧克力蛋糕(700 ± 15公克/顆(贈質感不銹鋼刀)),1199,1199,False
11631331,【紅葉蛋糕】黑森林長條-8盒(580g±5%/盒),4080,4080,False
11631327,【紅葉蛋糕】黑櫻桃條-8盒(450g±5%/盒),4080,4080,False
11631321,【阿默典藏蛋糕】荷蘭貴族手工蛋糕-1盒(417公克/盒),630,630,False
11494156,【美食村】牛奶焦糖泡芙(240g±3%/盒(6入)),199,220,False
11421697,【奧瑪烘焙】柑橘檸檬磅蛋糕-10入(420g±3%/盒(1條/盒)x10盒),2850,4000,False
11421690,【奧瑪烘焙】柑橘檸檬磅蛋糕-2入(420g±3%/盒(1條/盒)x2盒),760,1000,False
11362095,【冷藏店取-安博格】安博格有鹽奶油(200g/包),199,199,False
11357474,【小熊菓子】偷心泡芙(12包）(86g/袋),1692,1692,False
11357424,【小熊菓子】Q心乳加餅禮盒9入(單盒)(252g/盒(9入)),500,500,False
11354364,【分享烘焙】宅20維也納原味(牛奶)冰麵包(120g±5%/入*20),1100,1600,False
11354358,【分享烘焙】宅20維也納蒜香麵包(120g±5%/入*20),1100,1600,False
11302481,【久久津乳酪本舖】道南半熟乳酪-綜合8入(單盒)(原味40g*3入、抹茶40g*3入、巧克力40g*2入/盒),550,550,False
11302477,【諾貝爾奶凍】巧克力奶凍(單盒)(490g±3%/盒),500,500,False
11302476,【諾貝爾奶凍】香草奶凍(單盒)(510g±15g/盒),500,500,False
11302469,【亞尼克】北海道黑酷曲2入(360g/入),1100,1100,False
11302463,【亞尼克】巴斯克生起司1入(450g/入),620,620,False
11302460,【亞尼克】巴斯克生起司12入(450g/入),3828,5040,False
11302457,【亞尼克】北海道黑酷曲1入(360g/入),650,650,False
11302455,【亞尼克】巴斯克生起司2入(450g/入),1040,1040,False
11302453,【法藍四季】招牌肉鬆起酥三明治半條(6盒)(450g/盒*6盒),1080,1080,False
11302452,【熊夫人甜點】茶酒泡芙6入組(單盒)(伯爵茶威士忌55g*2入、茉莉花琴酒55g*2入、鐵觀音龍舌蘭55g*2入/盒),650,650,False
11302448,【諾貝爾奶凍】芒果奶凍(單盒)(470g±3%/盒),520,520,False
11302447,【查理布朗】湯普斯台灣花生麵包(2包)(320g±3%/包*2包),510,510,False
11302446,【熊夫人甜點】抹茶紅豆茉莉花琴酒(單盒)(500g±20g/盒),820,820,False
11302440,【My Dear】手工薄層濃純黑草莓巧克力(10g*10包/盒),430,430,False
11302438,【久久津乳酪本舖】開運布丁燒(單盒)(90g*5入/盒),460,460,False
11302437,【查理布朗】馬卡龍開心果6入(8盒)(18g±5%*6入/盒*8盒),2240,2240,False
11302436,【查理布朗】湯普斯大蒜麵包(2包)(320g±3%/包*2包),510,510,False
11302435,【查理布朗】湯普斯大蒜麵包(12包)(320g±3%/包*12包),2160,2160,False
11302434,【My Dear】手工薄層牛奶白草莓巧克力(10g*10包/盒),430,430,False
11302433,【久久津乳酪本舖】玫瑰檸檬乳酪塔(單盒)(70g*4入/盒),480,480,False
11302431,【法藍四季】芋頭肉鬆三明治半條(單盒)(450g/盒),400,400,False
11302428,【查理布朗】馬卡龍開心果6入(單盒)(18g±5%*6入/盒),430,430,False
11302427,【久久津乳酪本舖】玫瑰檸檬乳酪塔(6盒)(70g*4入/盒*6盒),2130,2130,False
11302426,【久久津乳酪本舖】焦糖布蕾蛋糕(單盒)(320g/盒),510,510,False
11302425,【查理布朗】湯普斯台灣花生麵包(12包)(320g±3%/包*12包),2160,2160,False
11264049,【鮮芋仙】紅豆芋泥湯圓(200g/盒),89,129,False
11249588,【亞尼克】亞尼克生乳捲-原味1入(324G/入),592,592,False
11249583,【亞尼克】亞尼克生乳捲-特黑10入(324G/入*10),3190,4200,False
11249579,【亞尼克】亞尼克生乳捲-特黑1入(324G/入),620,620,False
11249575,【亞尼克】亞尼克生乳捲-特黑2入(324G/入*2),1040,1040,False
11249572,【亞尼克】亞尼克生乳捲-雪天使1入(324G/入),620,620,False
