solver,instance,feasible,obj,cost,cal,pro,fat,carb,sug,sod,n,items,combos,runtime,gap,cal_min,pro_min
GRASP,rand_300p_90c_s2,1,45.55,69.0,666.8,46.9,20.3,88.8,20.0,856.0,3,23|41|145,,3.3147,0.0,635.3,44.8
Greedy,rand_300p_90c_s2,0,inf,110.7,900.9,120.2,41.4,39.0,4.2,3979.0,5,41|149|170|204|247,,0.0008,0.0,635.3,44.8
MILP,rand_300p_90c_s3,1,43.5146,66.4,942.2,46.2,23.6,105.4,21.1,895.0,3,1|106|172,,0.274,0.0,635.3,44.8
GRASP,rand_300p_90c_s3,1,53.2646,78.6,931.9,62.5,25.5,82.6,11.3,862.0,3,29|106|222,,3.6058,0.0,635.3,44.8
Greedy,rand_300p_90c_s3,0,inf,117.4,855.9,116.2,70.9,84.8,16.0,3238.0,5,155|172|222|243|280,,0.001,0.0,635.3,44.8
MILP,rand_300p_90c_s4,1,48.6647,70.7,849.3,47.3,20.3,72.5,12.2,855.0,3,104|119|292,,0.368,0.0,635.3,44.8
GRASP,rand_300p_90c_s4,1,48.6647,70.7,849.3,47.3,20.3,72.5,12.2,855.0,3,104|119|292,,4.8203,0.0,635.3,44.8
Greedy,rand_300p_90c_s4,0,inf,100.9,925.3,108.3,64.8,71.7,9.6,2993.0,5,119|133|228|257|270,,0.0009,0.0,635.3,44.8
MILP,rand_300p_90c_s5,1,32.9646,56.3,712.3,50.1,24.1,84.5,18.6,507.0,2,101|201,,0.145,0.0,635.3,44.8
GRASP,rand_300p_90c_s5,1,32.9646,56.3,712.3,50.1,24.1,84.5,18.6,507.0,2,101|201,,3.2075,0.0,635.3,44.8
Greedy,rand_300p_90c_s5,0,inf,96.5,795.7,125.0,49.1,96.1,15.8,4800.0,5,90|100|101|111|199,,0.0008,0.0,635.3,44.8
